timestamp,event,message
2025-04-06 14:49:26,INFO,mars_base_internal_temperature: 27.19
2025-04-06 14:49:26,INFO,mars_base_external_temperature: 3.3
2025-04-06 14:49:26,INFO,mars_base_internal_humidity: 54.43
2025-04-06 14:49:26,INFO,mars_base_external_illuminance: 604.94
2025-04-06 14:49:26,INFO,mars_base_internal_co2: 0.07
2025-04-06 14:49:26,INFO,mars_base_internal_oxygen: 5.94
2025-04-06 14:50:32,INFO,mars_base_internal_temperature: 25.91
2025-04-06 14:50:32,INFO,mars_base_external_temperature: 1.37
2025-04-06 14:50:32,INFO,mars_base_internal_humidity: 50.08
2025-04-06 14:50:32,INFO,mars_base_external_illuminance: 505.37
2025-04-06 14:50:32,INFO,mars_base_internal_co2: 0.09
2025-04-06 14:50:32,INFO,mars_base_internal_oxygen: 6.61
2025-04-06 14:50:47,INFO,mars_base_internal_temperature: 26.6
2025-04-06 14:50:47,INFO,mars_base_external_temperature: 8.1
2025-04-06 14:50:47,INFO,mars_base_internal_humidity: 57.12
2025-04-06 14:50:47,INFO,mars_base_external_illuminance: 589.76
2025-04-06 14:50:47,INFO,mars_base_internal_co2: 0.02
2025-04-06 14:50:47,INFO,mars_base_internal_oxygen: 5.17
